date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,XLK,shap,LGBMR,optuna,60,12,0.03668992868088514
2019-01-03,XLK,shap,LGBMR,random,36,12,0.03776352610879957
2019-01-03,XLK,shap,LGBMR,random,60,12,0.03776352610879957
2019-01-03,XLK,shap,RFR,optuna,36,12,0.0359762015986705
2019-01-03,XLK,shap,RFR,optuna,60,12,0.03600286241768259
2019-01-03,XLK,shap,RFR,random,36,12,0.036749760714196236
2019-01-03,XLK,shap,RFR,random,60,12,0.036749760714196236
2019-01-03,XLK,shap,XGBR,optuna,36,12,0.03593337860704428
2019-01-03,XLK,shap,XGBR,optuna,60,12,0.035985598954632096
2019-01-03,XLK,shap,XGBR,random,36,12,0.03415082412265108
2019-01-03,XLK,shap,XGBR,random,60,12,0.03415082412265108
2019-01-03,XLP,causal,LGBMR,optuna,36,12,0.03900279814496484
2019-01-03,XLP,causal,LGBMR,optuna,60,12,0.03894576376677544
2019-01-03,XLP,causal,LGBMR,random,36,12,0.03973167277685304
2019-01-03,XLP,causal,LGBMR,random,60,12,0.03970372357050065
2019-01-03,XLP,causal,RFR,optuna,36,12,0.037293431826736834
2019-01-03,XLP,causal,RFR,optuna,60,12,0.037784448299605
2019-01-03,XLP,causal,RFR,random,36,12,0.038207313897734255
2019-01-03,XLP,causal,RFR,random,60,12,0.037926292222995824
2019-01-03,XLP,causal,XGBR,optuna,36,12,0.04052274520324809
2019-01-03,XLP,causal,XGBR,optuna,60,12,0.04050793417314727
2019-01-03,XLP,causal,XGBR,random,36,12,0.03874280350315164
2019-01-03,XLP,causal,XGBR,random,60,12,0.03891301639517264
2019-01-03,XLP,selectkbest,LGBMR,optuna,36,12,0.037855701696776045
2019-01-03,XLP,selectkbest,LGBMR,optuna,60,12,0.037850228993589446
2019-01-03,XLP,selectkbest,LGBMR,random,36,12,0.03882259863065267
2019-01-03,XLP,selectkbest,LGBMR,random,60,12,0.03882259863065267
2019-01-03,XLP,selectkbest,RFR,optuna,36,12,0.03938879609690275
2019-01-03,XLP,selectkbest,RFR,optuna,60,12,0.03897362075834228
2019-01-03,XLP,selectkbest,RFR,random,36,12,0.03920899724810289
2019-01-03,XLP,selectkbest,RFR,random,60,12,0.03920899724810289
2019-01-03,XLP,selectkbest,XGBR,optuna,36,12,0.04054594363941391
2019-01-03,XLP,selectkbest,XGBR,optuna,60,12,0.0388761501960474
2019-01-03,XLP,selectkbest,XGBR,random,36,12,0.038479855684851655
2019-01-03,XLP,selectkbest,XGBR,random,60,12,0.038479855684851655
2019-01-03,XLP,shap,LGBMR,optuna,36,12,0.04057805474426381
2019-01-03,XLP,shap,LGBMR,optuna,60,12,0.04057805474426381
2019-01-03,XLP,shap,LGBMR,random,36,12,0.039909305881294585
