date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-06-03,causal,LGBMR,random,36,12,0.037309821536299775
2019-06-03,causal,LGBMR,random,60,12,0.03741657566169653
2019-06-03,causal,RFR,optuna,36,12,0.03746877980558016
2019-06-03,causal,RFR,optuna,60,12,0.03728306944322586
2019-06-03,causal,RFR,random,36,12,0.03698295573700409
2019-06-03,causal,RFR,random,60,12,0.037346450674739025
2019-06-03,causal,XGBR,optuna,36,12,0.038294170109619115
2019-06-03,causal,XGBR,optuna,60,12,0.03829321907558265
2019-06-03,causal,XGBR,random,36,12,0.03768968078140549
2019-06-03,causal,XGBR,random,60,12,0.03768679156448832
2019-06-03,selectkbest,LGBMR,optuna,36,12,0.03742243606135906
2019-06-03,selectkbest,LGBMR,optuna,60,12,0.03758962350027167
2019-06-03,selectkbest,LGBMR,random,36,12,0.03770155077725604
2019-06-03,selectkbest,LGBMR,random,60,12,0.03770155077725603
2019-06-03,selectkbest,RFR,optuna,36,12,0.037898403287883096
2019-06-03,selectkbest,RFR,optuna,60,12,0.03801133301936282
2019-06-03,selectkbest,RFR,random,36,12,0.0378891101719566
2019-06-03,selectkbest,RFR,random,60,12,0.0378891101719566
2019-06-03,selectkbest,XGBR,optuna,36,12,0.03825299588245268
2019-06-03,selectkbest,XGBR,optuna,60,12,0.03853290242661691
2019-06-03,selectkbest,XGBR,random,36,12,0.038831129582404166
2019-06-03,selectkbest,XGBR,random,60,12,0.038831129582404166
2019-06-03,shap,LGBMR,optuna,36,12,0.037659995022199334
2019-06-03,shap,LGBMR,optuna,60,12,0.03764600702045649
2019-06-03,shap,LGBMR,random,36,12,0.03775957060715388
2019-06-03,shap,LGBMR,random,60,12,0.03775957060715388
2019-06-03,shap,RFR,optuna,36,12,0.03719929691446892
2019-06-03,shap,RFR,optuna,60,12,0.03716403100243174
2019-06-03,shap,RFR,random,36,12,0.03707295748850518
2019-06-03,shap,RFR,random,60,12,0.03707295748850518
2019-06-03,shap,XGBR,optuna,36,12,0.0384608616554808
2019-06-03,shap,XGBR,optuna,60,12,0.03809909061333862
2019-06-03,shap,XGBR,random,36,12,0.037375287857559954
2019-06-03,shap,XGBR,random,60,12,0.037375287857559954
2019-07-01,causal,LGBMR,optuna,36,12,0.038150147642187784
2019-07-01,causal,LGBMR,optuna,60,12,0.037986122924127175
2019-07-01,causal,LGBMR,random,36,12,0.03828428878096385
2019-07-01,causal,LGBMR,random,60,12,0.038160117553266405
2019-07-01,causal,RFR,optuna,36,12,0.03768290301023344
2019-07-01,causal,RFR,optuna,60,12,0.03849312205442091
2019-07-01,causal,RFR,random,36,12,0.038041693785090404
2019-07-01,causal,RFR,random,60,12,0.038224816558715465
2019-07-01,causal,XGBR,optuna,36,12,0.03938326856034574
2019-07-01,causal,XGBR,optuna,60,12,0.039242359618754365
2019-07-01,causal,XGBR,random,36,12,0.0386784720148988
2019-07-01,causal,XGBR,random,60,12,0.03856850489042039
2019-07-01,selectkbest,LGBMR,optuna,36,12,0.03892622449428381
2019-07-01,selectkbest,LGBMR,optuna,60,12,0.038648910872539924
2019-07-01,selectkbest,LGBMR,random,36,12,0.03859747870392476
2019-07-01,selectkbest,LGBMR,random,60,12,0.03859747870392476
2019-07-01,selectkbest,RFR,optuna,36,12,0.03946109190721201
2019-07-01,selectkbest,RFR,optuna,60,12,0.03950395448901809
2019-07-01,selectkbest,RFR,random,36,12,0.03941410171061532
2019-07-01,selectkbest,RFR,random,60,12,0.03941410171061532
2019-07-01,selectkbest,XGBR,optuna,36,12,0.03945641912364583
2019-07-01,selectkbest,XGBR,optuna,60,12,0.03917962851096957
2019-07-01,selectkbest,XGBR,random,36,12,0.03971341971430157
2019-07-01,selectkbest,XGBR,random,60,12,0.03971341971430157
2019-07-01,shap,LGBMR,optuna,36,12,0.03833827771754502
2019-07-01,shap,LGBMR,optuna,60,12,0.038578284753632335
2019-07-01,shap,LGBMR,random,36,12,0.038385461773490843
2019-07-01,shap,LGBMR,random,60,12,0.038385461773490843
2019-07-01,shap,RFR,optuna,36,12,0.03798183669355384
2019-07-01,shap,RFR,optuna,60,12,0.03810872991232775
2019-07-01,shap,RFR,random,36,12,0.03804273234404538
2019-07-01,shap,RFR,random,60,12,0.03804273234404538
2019-07-01,shap,XGBR,optuna,36,12,0.03858724807685363
2019-07-01,shap,XGBR,optuna,60,12,0.039062180659360214
2019-07-01,shap,XGBR,random,36,12,0.038384122128402115
2019-07-01,shap,XGBR,random,60,12,0.038384122128402115
2019-08-01,causal,LGBMR,optuna,36,12,0.03820266385833789
2019-08-01,causal,LGBMR,optuna,60,12,0.03776118070519022
2019-08-01,causal,LGBMR,random,36,12,0.03834616730505611
2019-08-01,causal,LGBMR,random,60,12,0.03830782670709406
2019-08-01,causal,RFR,optuna,36,12,0.03798153855233887
2019-08-01,causal,RFR,optuna,60,12,0.03765641865549333
2019-08-01,causal,RFR,random,36,12,0.03796922221736057
2019-08-01,causal,RFR,random,60,12,0.03819228150164363
2019-08-01,causal,XGBR,optuna,36,12,0.038721323518720145
2019-08-01,causal,XGBR,optuna,60,12,0.03898632999647616
2019-08-01,causal,XGBR,random,36,12,0.03864025822566325
2019-08-01,causal,XGBR,random,60,12,0.038438463612539164
2019-08-01,selectkbest,LGBMR,optuna,36,12,0.03812837802263979
2019-08-01,selectkbest,LGBMR,optuna,60,12,0.03822114575204262
2019-08-01,selectkbest,LGBMR,random,36,12,0.03812241788616814
2019-08-01,selectkbest,LGBMR,random,60,12,0.03812241788616814
2019-08-01,selectkbest,RFR,optuna,36,12,0.03883556640813347
2019-08-01,selectkbest,RFR,optuna,60,12,0.038950461880685586
2019-08-01,selectkbest,RFR,random,36,12,0.038938461813578344
2019-08-01,selectkbest,RFR,random,60,12,0.038938461813578344
2019-08-01,selectkbest,XGBR,optuna,36,12,0.038928246667382004
2019-08-01,selectkbest,XGBR,optuna,60,12,0.03888397969797825
2019-08-01,selectkbest,XGBR,random,36,12,0.03908866753713535
2019-08-01,selectkbest,XGBR,random,60,12,0.03908866753713535
2019-08-01,shap,LGBMR,optuna,36,12,0.038452422595492274
2019-08-01,shap,LGBMR,optuna,60,12,0.03828200649889401
2019-08-01,shap,LGBMR,random,36,12,0.038005698454965466
2019-08-01,shap,LGBMR,random,60,12,0.038005698454965466
2019-08-01,shap,RFR,optuna,36,12,0.03768702151293783
2019-08-01,shap,RFR,optuna,60,12,0.03733440932838946
2019-08-01,shap,RFR,random,36,12,0.037790427588888044
2019-08-01,shap,RFR,random,60,12,0.037790427588888044
2019-08-01,shap,XGBR,optuna,36,12,0.03860273671034169
2019-08-01,shap,XGBR,optuna,60,12,0.03873354349557033
2019-08-01,shap,XGBR,random,36,12,0.038052911904698866
2019-08-01,shap,XGBR,random,60,12,0.038052911904698866
2019-09-03,causal,LGBMR,optuna,36,12,0.03891168842343138
2019-09-03,causal,LGBMR,optuna,60,12,0.03850032756079348
2019-09-03,causal,LGBMR,random,36,12,0.038832500306212
2019-09-03,causal,LGBMR,random,60,12,0.03862213490652972
2019-09-03,causal,RFR,optuna,36,12,0.03831911409595289
2019-09-03,causal,RFR,optuna,60,12,0.038287677961558124
2019-09-03,causal,RFR,random,36,12,0.03866066747277872
2019-09-03,causal,RFR,random,60,12,0.03843419377296927
2019-09-03,causal,XGBR,optuna,36,12,0.03886524097764369
2019-09-03,causal,XGBR,optuna,60,12,0.038869964225617774
2019-09-03,causal,XGBR,random,36,12,0.03864623804146788
2019-09-03,causal,XGBR,random,60,12,0.038700202748665834
2019-09-03,selectkbest,LGBMR,optuna,36,12,0.03824733161106557
2019-09-03,selectkbest,LGBMR,optuna,60,12,0.03825603481458945
2019-09-03,selectkbest,LGBMR,random,36,12,0.03812622193209135
2019-09-03,selectkbest,LGBMR,random,60,12,0.03812622193209135
2019-09-03,selectkbest,RFR,optuna,36,12,0.039149567576835125
2019-09-03,selectkbest,RFR,optuna,60,12,0.03907926477251675
2019-09-03,selectkbest,RFR,random,36,12,0.0393551121318419
2019-09-03,selectkbest,RFR,random,60,12,0.0393551121318419
2019-09-03,selectkbest,XGBR,optuna,36,12,0.03940319558046373
2019-09-03,selectkbest,XGBR,optuna,60,12,0.03923891284867878
2019-09-03,selectkbest,XGBR,random,36,12,0.03948751050326397
2019-09-03,selectkbest,XGBR,random,60,12,0.03948751050326397
2019-09-03,shap,LGBMR,optuna,36,12,0.038851505996944265
2019-09-03,shap,LGBMR,optuna,60,12,0.03881878574508394
2019-09-03,shap,LGBMR,random,36,12,0.03900973350535718
2019-09-03,shap,LGBMR,random,60,12,0.03900973350535718
2019-09-03,shap,RFR,optuna,36,12,0.03792802483480271
2019-09-03,shap,RFR,optuna,60,12,0.03789964934028304
2019-09-03,shap,RFR,random,36,12,0.03836263087689601
2019-09-03,shap,RFR,random,60,12,0.03836263087689601
2019-09-03,shap,XGBR,optuna,36,12,0.039473302490252056
2019-09-03,shap,XGBR,optuna,60,12,0.03928349760310714
2019-09-03,shap,XGBR,random,36,12,0.0386286004834353
2019-09-03,shap,XGBR,random,60,12,0.0386286004834353
2019-10-01,causal,LGBMR,optuna,36,12,0.03851617018846585
2019-10-01,causal,LGBMR,optuna,60,12,0.03838234622995194
2019-10-01,causal,LGBMR,random,36,12,0.0384367137290574
2019-10-01,causal,LGBMR,random,60,12,0.038213080711223445
2019-10-01,causal,RFR,optuna,36,12,0.03795013757513332
2019-10-01,causal,RFR,optuna,60,12,0.03824410797502508
2019-10-01,causal,RFR,random,36,12,0.03798134255908325
2019-10-01,causal,RFR,random,60,12,0.03772896454115066
2019-10-01,causal,XGBR,optuna,36,12,0.03898791079719485
2019-10-01,causal,XGBR,optuna,60,12,0.038857847574542644
2019-10-01,causal,XGBR,random,36,12,0.038539580537447826
2019-10-01,causal,XGBR,random,60,12,0.038287779493331835
2019-10-01,selectkbest,LGBMR,optuna,36,12,0.03833992569396651
2019-10-01,selectkbest,LGBMR,optuna,60,12,0.03836162039965017
2019-10-01,selectkbest,LGBMR,random,36,12,0.03843293372345589
2019-10-01,selectkbest,LGBMR,random,60,12,0.03843293372345589
2019-10-01,selectkbest,RFR,optuna,36,12,0.03866583304832686
2019-10-01,selectkbest,RFR,optuna,60,12,0.03884009602639757
2019-10-01,selectkbest,RFR,random,36,12,0.03869725324444263
2019-10-01,selectkbest,RFR,random,60,12,0.03869725324444263
2019-10-01,selectkbest,XGBR,optuna,36,12,0.039206966658052074
2019-10-01,selectkbest,XGBR,optuna,60,12,0.038734921163947535
2019-10-01,selectkbest,XGBR,random,36,12,0.03909684974227987
2019-10-01,selectkbest,XGBR,random,60,12,0.03909684974227987
2019-10-01,shap,LGBMR,optuna,36,12,0.03828763427593838
2019-10-01,shap,LGBMR,optuna,60,12,0.03844631554617864
2019-10-01,shap,LGBMR,random,36,12,0.03852292703045223
2019-10-01,shap,LGBMR,random,60,12,0.03852292703045223
2019-10-01,shap,RFR,optuna,36,12,0.037977908091343604
2019-10-01,shap,RFR,optuna,60,12,0.03788090663249813
2019-10-01,shap,RFR,random,36,12,0.037809915306393264
2019-10-01,shap,RFR,random,60,12,0.037809915306393264
2019-10-01,shap,XGBR,optuna,36,12,0.039164048027218755
2019-10-01,shap,XGBR,optuna,60,12,0.039328045913693904
2019-10-01,shap,XGBR,random,36,12,0.03905789079893852
2019-10-01,shap,XGBR,random,60,12,0.03905789079893852
2019-11-01,causal,LGBMR,optuna,36,12,0.03829044913500094
2019-11-01,causal,LGBMR,optuna,60,12,0.03810825318650554
2019-11-01,causal,LGBMR,random,36,12,0.03846039158776013
2019-11-01,causal,LGBMR,random,60,12,0.03862340060171491
2019-11-01,causal,RFR,optuna,36,12,0.03774519118783081
2019-11-01,causal,RFR,optuna,60,12,0.03782295005341283
2019-11-01,causal,RFR,random,36,12,0.03779477636327712
2019-11-01,causal,RFR,random,60,12,0.03803291727537022
2019-11-01,causal,XGBR,optuna,36,12,0.03904738145976893
2019-11-01,causal,XGBR,optuna,60,12,0.03919486887567531
2019-11-01,causal,XGBR,random,36,12,0.03836364651157894
2019-11-01,causal,XGBR,random,60,12,0.03862667914218463
2019-11-01,selectkbest,LGBMR,optuna,36,12,0.0381769231338837
2019-11-01,selectkbest,LGBMR,optuna,60,12,0.0381310990536104
2019-11-01,selectkbest,LGBMR,random,36,12,0.03809075049418548
2019-11-01,selectkbest,LGBMR,random,60,12,0.03809075049418548
2019-11-01,selectkbest,RFR,optuna,36,12,0.03863872685750225
2019-11-01,selectkbest,RFR,optuna,60,12,0.03873489994575154
2019-11-01,selectkbest,RFR,random,36,12,0.03878652502496411
