date,Method,ETF,RMSE
2023-12-01,shap,XLI,0.049596918073122956
2023-12-01,selectkbest,XLE,0.048881346503233086
2023-12-01,estatico,XLK,0.0696522288590838
2023-12-01,shap,XLF,0.05782347149675523
2023-12-01,selectkbest,XLI,0.0511732846297974
2023-12-01,selectkbest,XLK,0.06454831744283623
2023-12-01,causal,XLF,0.05657959238563787
2023-12-01,estatico,XLF,0.05864587527032322
2023-12-01,shap,XLP,0.04465241769721178
2023-12-01,causal,XLP,0.039403897767557226
2023-12-01,estatico,XLP,0.03733014558582053
2023-12-01,selectkbest,XLF,0.06000160895819637
2023-12-01,shap,XLY,0.06963470157030223
2023-12-01,selectkbest,XLP,0.039076692558421715
2023-12-01,causal,XLY,0.06770967922873158
2023-12-01,estatico,XLY,0.07108159370852081
2023-12-01,causal,XLV,0.03170715598608944
2023-12-01,shap,XLV,0.03636816945728292
2023-12-01,estatico,XLV,0.03260962538007813
2023-12-01,shap,XLU,0.047952280734665925
2023-12-01,selectkbest,XLY,0.07009787285075883
2023-12-01,causal,XLU,0.048238604436967834
2023-12-01,estatico,XLU,0.046730358858604125
2023-12-01,selectkbest,XLV,0.03672854885085124
2023-12-01,shap,IYR,0.059011393237133204
2023-12-01,selectkbest,XLU,0.046351413950397186
2023-12-01,causal,IYR,0.059221173071477874
2023-12-01,estatico,IYR,0.060698519389789436
2023-12-01,causal,VOX,0.06119758987124874
2023-12-01,shap,VOX,0.05933056671840309
2023-12-01,estatico,VOX,0.059462366890737396
2023-12-01,shap,SPY,0.04467429135162426
2023-12-01,causal,SPY,0.04564707211126514
2023-12-01,selectkbest,IYR,0.056991882028894006
2023-12-01,estatico,SPY,0.045328302521172724
2023-12-01,selectkbest,VOX,0.05930457916485717
2023-12-01,selectkbest,SPY,0.046030727913327164
2024-01-02,causal,XLI,0.052193808538746396
2024-01-02,selectkbest,XLB,0.05846363751846464
2024-01-02,shap,XLI,0.04849179164615794
2024-01-02,estatico,XLB,0.05670037959821579
